Name,Post Count,Edits Made,Average Edits per Message,Word Count,Unique Words,Punctuation Count,Average Punctuation per Message, Link Count,Average Links per Message,Emoji Count,Average Emojis per Message,Negative Word Count,Positive Word Count,Bad Word Count,Negative Messages, Positive Messages, Messages with Bad Word,Negative Message Frequency, Positive Message Frequency, Message with Bad Word Frequency,Top 3 Emojis (count), Top 3 Words (count)
,44,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
28:concierge,4,0,0,180,128,24,6,5,1.25,9,2.25,2,1,0,1,0,0,0.25,0,0,"(call) (1) (heart) (1) (idea) (1) ","and (9) to (8) the (5) "
adam.anuzis,2,0,0,32,28,1,0.5,0,0,0,0,1,3,0,0,2,0,0,1,0," (0)  (0)  (0) ","I (2) play (2) with (2) "
ajmatvekas,823,87,0.106,7608,1718,631,0.767,99,0.12,6,0.00729,309,285,16,726,62,761,0.882,0.0753,0.925,"(y) (2) :( (2) (cwl) (1) ","I (220) to (215) the (191) "
andrew.lukasiewicz,2548,75,0.0294,20488,3808,1314,0.516,239,0.0938,1,0.000392,620,696,94,254,2246,2536,0.0997,0.881,0.995,":3 (1)  (0)  (0) ","the (612) to (519) I (507) "
andrius.gobis,3501,119,0.034,22985,4469,1986,0.567,615,0.176,60,0.0171,881,993,67,93,3396,3434,0.0266,0.97,0.981,":) (21) (like) (12) :( (10) ","I (756) the (701) to (538) "
b.george.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
briancoe96,62,0,0,55,39,6,0.0968,0,0,0,0,5,6,1,0,56,4,0,0.903,0.0645," (0)  (0)  (0) ","you (5)  (3) I (3) "
cavelary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
conorn414,480,8,0.0167,3630,1273,241,0.502,23,0.0479,0,0,148,164,39,14,449,474,0.0292,0.935,0.988," (0)  (0)  (0) ","i (115) the (87) a (84) "
erikas.anuzis,2007,54,0.0269,14110,3704,1240,0.618,568,0.283,13,0.00648,555,444,100,1982,3,1982,0.988,0.00149,0.988,"&lt;3 (2) :P (2) (cheers) (1) ","the (496) to (350) I (293) "
froggybabydar,1543,33,0.0214,8605,2278,752,0.487,77,0.0499,320,0.207,410,397,106,1261,271,1543,0.817,0.176,1,"(auld) (95) (lang) (94) (syne) (94) ","I (271) the (199) you (196) "
jack.watts116,257,3,0.0117,1116,572,51,0.198,84,0.327,5,0.0195,41,45,17,62,125,252,0.241,0.486,0.981,"(auld) (1) (bhangra) (1) (lang) (1) ","the (41) a (29) I (25) "
jacob.swaneck,8,0,0,35,33,0,0,0,0,0,0,1,2,0,0,5,0,0,0.625,0," (0)  (0)  (0) ","of (2) so (2) 9:30 (1) "
koe_tsutsumi,2,0,0,5,5,1,0.5,0,0,1,0.5,1,0,0,2,0,0,1,0,0,"(monkey) (1)  (0)  (0) ","are (1) guys (1) monkey (1) "
live:lydia.gobis,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) ","Happy (1) New (1) Year (1) "
live:raprilliano,56,1,0.0179,178,134,17,0.304,11,0.196,2,0.0357,11,16,4,11,33,32,0.196,0.589,0.571,":( (1) :* (1)  (0) ","I (6) a (4) to (4) "
maherz95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
marc1797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
martinson390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
matas.lelis,923,11,0.0119,4444,1722,229,0.248,120,0.13,4,0.00433,196,176,23,821,34,882,0.889,0.0368,0.956,":D (3) (monkeygiggle) (1)  (0) ","the (117) I (101) a (101) "
melong.k,220,0,0,1192,589,43,0.195,6,0.0273,3,0.0136,39,51,19,69,135,214,0.314,0.614,0.973,":* (1) :D (1) :O (1) ","I (31) that (24) you (24) "
ml18-115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
qmeagher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
rainyrhino,2,0,0,3,3,1,0.5,0,0,1,0.5,2,1,0,2,0,0,1,0,0,":( (1)  (0)  (0) "," (1) fault (1) my (1) "
steven_d.hogg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," (0)  (0)  (0) "," (0)  (0)  (0) "
thecconley23,5,0,0,11,11,1,0.2,0,0,0,0,1,0,1,2,0,2,0.4,0,0.4," (0)  (0)  (0) ","call (1) damn (1) do (1) "
zach.sanders21,311,0,0,840,429,37,0.119,6,0.0193,9,0.0289,25,36,10,0,296,290,0,0.952,0.932,":D (5) :O (2) &lt;3 (1) ","I (26) to (17) you (17) "
